review,subtheme_1,subtheme_2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,cleaned_review,subthemes,subtheme_sentiments
"No problem ordering online, quick and easy process, good choice of booking slots and pit stop convenient to get to. Took guys longer than expected to change my tyres but could see that they were tired and had a very long and busy day. They were friendly and just nice guys. Thanks for doing the job and will definitely use them again. Cathy",ease of booking positive,length of fitting positive,location positive,garage service positive,length of fitting negative,,,,,,,,,,"problem ordering online , quick easy process , good choice booking slot pit stop convenient get . took guy longer expected change tyre could see tired long busy day . friendly nice guy . thanks job definitely use . cathy","[('Ease of booking', 'aspect')]","[('Ease of booking', 'aspect', 'positive')]"
"This company wont leave you deflated. Really easy peasy way to buy decent reasonably priced tyres with the ability to pick a fitting time,|(if required) that suits your needs. Used them now for the last four or five years and never had a problem.",ease of booking positive,value for money negative,value for money positive,ease of booking negative,,,,,,,,,,,"company wont leave deflated . really easy peasy way buy decent reasonably priced tyre ability pick fitting time , | ( required ) suit need . used last four five year never problem .",[],[]
"Reliable. Fast, reliable and with excellent prices.",value for money positive,,,,,,,,,,,,,,"reliable . fast , reliable excellent price .",[],[]
"What a great service. The [REDACTED] website offered me a great price and the tyres were delivered to my local fitter promptly - as promised! The fitter at M D Tyre & Exhaust Centre, Gorse Lane Industrial Estate, Clacton was friendly and thorough. I would be quite happy to recommend this service!",garage service positive,location positive,delivery punctuality positive,value for money positive,,,,,,,,,,,"great service . [ redacted ] website offered great price tyre delivered local fitter promptly - promised ! fitter tyre & exhaust centre , gorse lane industrial estate , clacton friendly thorough . would quite happy recommend service !","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Was quite happy to book with them, but the reason i only gave an average review my appointment was changed twice and i had other arrangements in place which i had to change",ease of booking positive,change of date negative,,,,,,,,,,,,,"quite happy book , reason gave average review appointment changed twice arrangement place change","[('Ease of booking', 'aspect')]","[('Ease of booking', 'aspect', 'positive')]"
Quick easy courteous fair value,value for money positive,,,,,,,,,,,,,,quick easy courteous fair value,[],[]
Good choice of tyres at a competitive price. This is the second time I have used them and both times I have been very happy with the service.,value for money positive,,,,,,,,,,,,,,good choice tyre competitive price . second time used time happy service .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Tyres ok, but balance on wheels was set very wrong by garage. I Gone abroad and had to stop In Germany to set balance again because it was not possible to drive.",garage service negative,,,,,,,,,,,,,,"tyre ok , balance wheel set wrong garage . gone abroad stop germany set balance possible drive .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'negative')]"
"Great service, great price and able to book a garage on line at a time that suits",value for money positive,ease of booking positive,,,,,,,,,,,,,"great service , great price able book garage line time suit","[('Garage service', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'positive'), ('Ease of booking', 'aspect', 'positive')]"
Excellent. Easy to navigate web page clear pricing structure . 5 stars,value for money positive,,,,,,,,,,,,,,excellent . easy navigate web page clear pricing structure . 5 star,[],[]
Got 4 tyres £150 cheaper and was fitted at my local ats same week would recommend them to anyone,value for money negative,location negative,,,,,,,,,,,,,got 4 tyre £150 cheaper fitted local at week would recommend anyone,[],[]
Tyres fitted at ats couldn’t fault them only issue is ats could have done same price and not moaned at having to fit tyres for [REDACTED] stating they didn’t like [REDACTED] Other downside is [REDACTED] don’t offer tyre insurance but ats would have if I bought them from ats insurance at £9 per tyre. I don’t think I’d use [REDACTED] again or recommend them,value for money positive,garage service positive,,,,,,,,,,,,,tyre fitted at ’ fault issue at could done price moaned fit tyre [ redacted ] stating ’ like [ redacted ] downside [ redacted ] ’ offer tyre insurance at would bought at insurance £9 per tyre . ’ think ’ use [ redacted ] recommend,[],[]
"Great price, no fuss",value for money positive,,,,,,,,,,,,,,"great price , fuss",[],[]
"Good value, easy to order and a good local garage to fit the tyre.",garage service positive,value for money positive,location positive,,,,,,,,,,,,"good value , easy order good local garage fit tyre .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Very easy to order and quick to deliver,delivery punctuality positive,,,,,,,,,,,,,,easy order quick deliver,[],[]
Tyres delivered quickly and excellent time slot for me. Tyres delivered quickly and excellent time for fitting provided for me. The actual fitting took a bit longer than expected. Apparently this was due to one of the new tyres not inflating on the rim. The fitter stated this was because the tyres are stored badly and when delivered they are slightly mis shapen and won’t fit on the rim properly. He did get there in the end after many attempts. Pleased with the tyres and no other problems encountered.,delivery punctuality positive,garage service positive,,,,,,,,,,,,,tyre delivered quickly excellent time slot . tyre delivered quickly excellent time fitting provided . actual fitting took bit longer expected . apparently due one new tyre inflating rim . fitter stated tyre stored badly delivered slightly mi shapen ’ fit rim properly . get end many attempt . pleased tyre problem encountered .,[],[]
Thank you again Excellent service. Value for money. Exceptional service. Easy to navigate website. What more do you need? Thanks again [REDACTED].,value for money positive,,,,,,,,,,,,,,thank excellent service . value money . exceptional service . easy navigate website . need ? thanks [ redacted ] .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Good prices easy to organise. Buying on line easy with a good range of local fitters - chose a garage we know well and everything was done as expected with no hassles,value for money positive,ease of booking positive,location positive,,,,,,,,,,,,good price easy organise . buying line easy good range local fitter - chose garage know well everything done expected hassle,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
[REDACTED] does what it says on the tin you get the tyres you want fitted by your trusted local tyre fitter at a very good price,value for money negative,location negative,garage service negative,,,,,,,,,,,,[ redacted ] say tin get tyre want fitted trusted local tyre fitter good price,[],[]
"very happy. found a set I needed quickly online, booked a fitting when it suited me, had to change that time and did so with ease, the garage fitted tyres swiftly and on time, and I saved a few quid.",value for money positive,ease of booking positive,length of fitting positive,,,,,,,,,,,,"happy . found set needed quickly online , booked fitting suited , change time ease , garage fitted tyre swiftly time , saved quid .","[('Garage service', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'positive'), ('Ease of booking', 'aspect', 'positive')]"
"Good tyres, at a good price",value for money positive,tyre quality positive,,,,,,,,,,,,,"good tyre , good price",[],[]
Great service at a great price.,value for money positive,,,,,,,,,,,,,,great service great price .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Great as usual. We've purchased from [REDACTED] several times, this time from a completely different garage. They were really good, the tyre fitter was nice and very friendly, job was well done.I can't recommend them enough and going through [REDACTED] meant cheaper too.",garage service positive,value for money positive,,,,,,,,,,,,,"great usual . 've purchased [ redacted ] several time , time completely different garage . really good , tyre fitter nice friendly , job well done.i ca n't recommend enough going [ redacted ] meant cheaper .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
